# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
 OGLE-2016-BLG-1469L b,Confirmed,13.6,3.0,3.0,,,,,,,,,,0.33,0.04,0.04,,,,,,,,2017,2017-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2016-BLG-1469L,271.945750016,-26.2898888998,,,,,,4500.0,,,,,,0.048,0.007,0.007,,,,,,,,,,,,,
HD 12484 b,Confirmed,2.98,0.14,0.14,2.98,0.14,0.14,,,,58.83,0.08,0.08,0.297,0.005,0.005,0.07,0.03,0.03,,,,,2016,2016-02-17,325.0,40.0,40.0,2456699.0,5.0,5.0,,,,,,,,,,,,,,,,,,,155.0,5.0,5.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 12484,30.612500009,2.815833362,8.17,,,,,51.1,2.5,2.5,0.05,0.02,0.02,1.01,0.03,0.03,,,,F8,,,,5920.0,30.0,30.0,,,
HD 125595 b,Confirmed,0.042,0.004,0.004,0.042,0.004,0.004,,,,9.6737,0.0039,0.0039,0.0809,0.0014,0.0014,0.0,,,,,,0.002953,2009,2011-07-05,,,,,,,,,,,,,,,,,,,,,,2454435.23,0.15,0.15,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 125595,215.3458333,-40.3938889,9.03,,,,,27.4,0.9,0.9,0.02,0.06,0.06,0.756,0.017,0.017,,,,K4V,3.53,3.53,3.53,4908.0,,,,,
HD 125612 b,Confirmed,3.0,,,3.0,,,,,,502.0,14.0,14.0,1.37,,,0.46,0.01,0.01,,,,0.025937,2007,2010-12-06,41.5,1.7,1.7,54894.9,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 125612,215.225,-17.4813889,8.31,,,,,52.82,,,0.24,0.03,0.03,1.1,0.07,0.07,1.05,0.08,0.08,G3V,2.1,,,5897.0,40.0,40.0,,,
HD 125612 c,Confirmed,0.058,,,0.058,,,,,,4.1547,0.0005,0.0005,0.05,,,0.27,0.12,0.12,,,,0.000947,2009,2010-12-06,103.0,23.0,23.0,54420.17,0.23,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 125612,215.225,-17.4813889,8.31,,,,,52.82,,,0.24,0.03,0.03,1.1,0.07,0.07,1.05,0.08,0.08,G3V,2.1,,,5897.0,40.0,40.0,,,
HD 125612 d,Confirmed,7.2,,,7.2,,,,,,3008.0,202.0,202.0,4.2,,,0.28,0.12,0.12,,,,0.079515,2009,2010-12-06,284.0,8.0,8.0,57174.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 125612,215.225,-17.4813889,8.31,,,,,52.82,,,0.24,0.03,0.03,1.1,0.07,0.07,1.05,0.08,0.08,G3V,2.1,,,5897.0,40.0,40.0,,,
HD 12648 b,Confirmed,2.9,0.4,0.4,2.9,0.4,0.4,,,,133.6,0.5,0.5,0.54,0.02,0.02,0.04,0.16,0.16,,,,,2015,2015-10-01,99.3,140.7,140.7,2452324.7,57.6,57.6,,,,,,,,,,,,,,,,,,,102.0,8.4,8.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 12648,34.75,85.736111128,6.98,,,,,158.4,9.0,9.0,-0.57,0.02,0.02,1.2,0.1,0.1,9.2,0.6,0.6,G5,4.5,1.0,1.0,4835.8,7.5,7.5,,,
HD 126525 b,Confirmed,0.224,0.0182,0.0182,0.224,0.0182,0.0182,,,,948.12,21.966,21.966,1.8105,0.0411,0.0411,0.13,0.07,0.07,,,,0.04752,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 126525,216.8875,-51.9330556,7.85,,,,,38.1,1.0,1.0,,,,,,,,,,G4V,,,,,,,,,
HD 12661 b,Confirmed,2.3,,,2.3,,,,,,263.6,1.2,1.2,0.83,,,0.377,0.008,0.008,,,,0.022336,2000,2014-02-13,296.0,1.5,1.5,2454152.76,0.87,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 12661,31.1416667,25.4141667,7.44,,,,,37.16,,,0.29,0.05,0.05,1.07,,,1.12,,,G6 V,7.05,,,5742.0,,,,,
HD 12661 c,Confirmed,1.57,,,1.57,,,,,,1708.0,14.0,14.0,2.56,,,0.031,0.022,0.022,,,,0.068891,2002,2014-02-13,165.0,,,2446153.76,87.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 12661,31.1416667,25.4141667,7.44,,,,,37.16,,,0.29,0.05,0.05,1.07,,,1.12,,,G6 V,7.05,,,5742.0,,,,,
HD 126614 b,Confirmed,0.38,0.04,0.04,0.38,0.04,0.04,,,,1244.0,17.0,17.0,2.35,0.02,0.02,0.41,0.1,0.1,,,,0.032459,2010,2014-08-30,243.0,19.0,19.0,2453808.0,52.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 126614,216.7,-5.1777778,8.81,,,,,72.4,5.3,5.3,0.56,0.04,0.04,1.145,0.03,0.03,1.09,0.06,0.06,K0,7.2,2.0,2.0,5585.0,44.0,44.0,,,
HD 128311 b,Confirmed,2.18,0.022,0.022,2.18,0.022,0.022,,,,448.6,6.8,6.8,1.099,0.04,0.04,0.25,0.1,0.1,,,,0.066205,2002,2011-01-04,110.9,36.0,36.0,2450210.9,76.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 128311,219.0,9.7463889,7.51,,,,,16.6,,,0.08,,,0.84,,,0.73,,,K0V,0.39,,,4965.0,,,IR Excess,,
HD 128311 c,Confirmed,4.19,0.83,1.27,3.21,0.3,0.3,,,,919.0,,,1.76,0.13,0.13,0.17,0.09,0.09,50.0,10.0,10.0,0.106024,2005,2011-05-11,195.5,150.0,150.0,2450012.2,401.0,401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 128311,219.0,9.7463889,7.51,,,,,16.6,,,0.08,,,0.84,,,0.73,,,K0V,0.39,,,4965.0,,,IR Excess,,
HD 128356 b,Confirmed,0.89,0.07,0.07,0.89,0.07,0.07,,,,298.2,1.6,1.6,0.87,0.03,0.03,0.57,0.08,0.08,,,,,2016,2016-04-02,84.0,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,36.9,1.2,1.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 128356,219.270833335,-25.802500018,8.29,,,,,26.03,0.52,0.52,0.17,0.1,0.1,0.65,0.05,0.05,0.85,0.02,0.02,K3V,10.0,5.0,5.0,4875.0,100.0,100.0,,,
HD 129445 b,Confirmed,1.6,0.6,0.6,1.6,0.6,0.6,,,,1840.0,55.0,55.0,2.9,0.2,0.2,0.7,0.1,0.1,,,,0.042893,2010,2014-08-27,163.0,15.0,15.0,2453093.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 129445,221.5125,-68.7625,8.8,,,,,67.61,5.1,5.1,0.25,,,0.99,,,,,,G8V,,,,,,,,,
HD 130322 b,Confirmed,1.05,0.03,0.77,1.02,,,,,,10.72,0.07,0.07,0.088,,,0.044,0.018,0.018,76.0,42.0,42.0,0.002933,1999,2010-12-08,203.63,23.14,23.14,51287.38,0.68,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 130322,221.8875,0.2813889,8.05,,,,,30.0,,,-0.02,,,0.79,,,0.83,,,K0 V,0.35,,,5330.0,,,IR Excess,,
HD 131496 b,Confirmed,2.2,0.2,0.2,2.2,0.2,0.2,,,,883.0,29.0,29.0,2.09,0.07,0.07,0.163,0.073,0.073,,,,0.019,2011,2011-09-02,22.0,40.0,40.0,2456040.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 131496,223.3458333,18.2352778,7.96,,,,,110.0,9.4,9.4,0.25,0.03,0.03,1.61,0.11,0.11,4.6,0.1,0.1,K0,2.7,0.5,0.5,4927.0,44.0,44.0,,,
HD 13189 b,Confirmed,14.0,6.0,6.0,14.0,6.0,6.0,,,,471.6,6.0,6.0,1.85,0.35,0.35,0.27,0.06,0.06,,,,0.01,2005,2012-08-10,160.7,12.0,12.0,2455327.9,20.2,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 13189,32.4166667,32.3163889,7.57,,,,,185.0,,,,,,4.5,2.5,2.5,50.39,20.51,20.51,K2 II,,,,,,,,,
HD 132406 b,Confirmed,5.61,,,5.61,,,,,,974.0,39.0,39.0,1.98,,,0.34,0.09,0.09,,,,0.027887,2007,2007-10-31,214.0,19.0,19.0,53474.0,44.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 132406,224.2291667,53.3822222,8.45,,,,,71.0,3.5,3.5,0.18,0.05,0.05,1.09,0.05,0.05,,,,G0V,6.4,0.8,0.8,5885.0,50.0,50.0,,,
HD 132563 B b,Confirmed,1.49,0.09,0.09,1.49,0.09,0.09,,,,1544.0,34.0,34.0,2.62,0.04,0.04,0.22,0.09,0.09,,,,0.027292,2011,2016-02-23,158.0,35.0,35.0,2452593.0,148.0,148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 132563B,224.5875,44.0433333,9.47,,,,,96.0,13.0,13.0,-0.19,0.1,0.1,1.01,0.01,0.01,,,,,5.0,,,5985.0,100.0,100.0,,,
HD 133131 A b,Confirmed,1.43,0.04,0.04,1.43,0.04,0.04,,,,649.0,3.0,3.0,1.44,0.005,0.005,0.32,0.03,0.03,,,,,2016,2016-08-24,,,,,,,,,,,,,,,,,,,,,,,,,36.68,0.93,0.93,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 133131 A,225.899193804,-27.8409866895,8.4,,,,,47.0,,,-0.306,0.016,0.016,0.95,,,,,,G2V,9.7,,,5799.0,19.0,19.0,,,
HD 133131 A c,Confirmed,0.48,0.14,0.14,0.48,0.14,0.14,,,,3407.0,970.0,970.0,4.36,0.82,0.82,0.47,0.22,0.22,,,,,2016,2016-08-24,,,,2452277.0,1171.0,1171.0,,,,,,,,,,,,,,,,,,,7.57,2.1,2.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 133131 A,225.899193804,-27.8409866895,8.4,,,,,47.0,,,-0.306,0.016,0.016,0.95,,,,,,G2V,9.7,,,5799.0,19.0,19.0,,,
HD 133131 B b,Confirmed,2.5,0.05,0.05,2.5,0.05,0.05,,,,6119.0,831.0,831.0,,,,0.62,0.04,0.04,,,,,2016,2016-08-24,,,,2450298.0,,,,,,,,,,,,,,,,,,,,,37.29,0.65,0.65,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 133131 B,225.899193804,-27.8409866895,8.42,,,,,47.0,,,-0.281,0.013,0.013,0.93,,,,,,G2,9.7,,,5805.0,15.0,15.0,,,
HD 134060 b,Confirmed,0.0351,0.0021,0.0021,0.0351,0.0021,0.0021,,,,3.27,0.0002,0.0002,0.0444,0.0007,0.0007,0.4,0.04,0.04,,,,0.001835,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 134060,227.6875,-61.4222222,6.29,,,,,24.2,0.25,0.25,,,,,,,,,,G0V,,,,,,,,,
HD 134060 c,Confirmed,0.1507,0.071,0.071,0.1507,0.071,0.071,,,,1160.9,27.046,27.046,2.2263,0.0507,0.0507,0.75,0.19,0.19,,,,0.091996,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 134060,227.6875,-61.4222222,6.29,,,,,24.2,0.25,0.25,,,,,,,,,,G0V,,,,,,,,,
HD 134113 b,Confirmed,47.0,3.0,3.0,47.0,3.0,3.0,,,,201.68,0.004,0.004,0.638,0.01,0.01,0.0891,0.002,0.002,,,,,2016,2016-02-10,163.0,0.2,0.2,2456808.54,0.05,0.05,,,,,,,,,,,,,,,,,,,3965.0,46.0,55.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 134113,226.945833349,8.87972225,8.26,,,,,71.9,,,-0.74,0.02,0.02,0.81,0.01,0.01,,,,F9V,,,,5782.0,22.0,22.0,,,
HD 134606 b,Confirmed,0.0292,0.003,0.003,0.0292,0.003,0.003,,,,12.083,0.0096,0.0096,0.1023,0.0017,0.0017,0.15,0.1,0.1,,,,0.00386,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 134606,228.8125,-70.5197222,6.85,,,,,26.5,0.4,0.4,,,,,,,,,,G6IV,,,,,,,,,
HD 134606 c,Confirmed,0.0382,0.0048,0.0048,0.0382,0.0048,0.0048,,,,59.519,0.1746,0.1746,0.2962,0.0049,0.0049,0.29,0.2,0.2,,,,0.011177,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 134606,228.8125,-70.5197222,6.85,,,,,26.5,0.4,0.4,,,,,,,,,,G6IV,,,,,,,,,
HD 134606 d,Confirmed,0.121,0.013,0.013,0.121,0.013,0.013,,,,459.26,8.3238,8.3238,1.1567,0.0241,0.0241,0.46,0.09,0.09,,,,0.043649,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 134606,228.8125,-70.5197222,6.85,,,,,26.5,0.4,0.4,,,,,,,,,,G6IV,,,,,,,,,
HD 134987 b,Confirmed,1.59,0.02,0.02,1.59,0.02,0.02,,,,258.19,0.07,0.07,0.81,0.02,0.02,0.233,0.002,0.002,,,,0.036486,1999,2009-12-15,252.7,0.5,0.5,10071.0,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 134987,228.3666667,-25.3091667,6.45,,,,,22.2,1.1,1.1,0.25,0.02,0.02,1.07,0.08,0.08,1.25,0.04,0.04,G5 V,9.7,3.7,3.7,5740.0,23.0,23.0,,,
HD 134987 c,Confirmed,0.82,0.03,0.03,0.82,0.03,0.03,,,,5000.0,400.0,400.0,5.8,0.5,0.5,0.12,0.02,0.02,,,,0.261261,2009,2009-12-15,195.0,48.0,48.0,11100.0,600.0,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 134987,228.3666667,-25.3091667,6.45,,,,,22.2,1.1,1.1,0.25,0.02,0.02,1.07,0.08,0.08,1.25,0.04,0.04,G5 V,9.7,3.7,3.7,5740.0,23.0,23.0,,,
HD 136352 b,Confirmed,0.0166,0.0025,0.0025,0.0166,0.0025,0.0025,,,,11.577,0.0056,0.0056,0.0933,0.0015,0.0015,0.18,0.14,0.14,,,,0.006304,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 136352,230.45,-48.3175,5.65,,,,,14.8,0.08,0.08,,,,,,,,,,G4V,,,,,,,,,
HD 136352 c,Confirmed,0.0358,0.0031,0.0031,0.0358,0.0031,0.0031,,,,27.582,0.0225,0.0225,0.1665,0.0028,0.0028,0.16,0.07,0.07,,,,0.01125,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 136352,230.45,-48.3175,5.65,,,,,14.8,0.08,0.08,,,,,,,,,,G4V,,,,,,,,,
HD 136352 d,Confirmed,0.03,0.011,0.011,0.03,0.011,0.011,,,,106.72,1.0284,1.0284,0.411,0.0073,0.0073,0.43,0.24,0.24,,,,0.02777,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 136352,230.45,-48.3175,5.65,,,,,14.8,0.08,0.08,,,,,,,,,,G4V,,,,,,,,,
HD 136418 b,Confirmed,2.0,0.1,0.1,2.0,0.1,0.1,,,,464.3,3.2,3.2,1.32,0.03,0.03,0.255,0.041,0.041,,,,0.013442,2010,2010-03-19,12.0,10.0,10.0,2455228.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 136418,229.7791667,41.7333333,7.88,,,,,98.2,5.6,5.6,-0.07,0.03,0.03,1.33,0.09,0.09,3.4,0.1,0.1,G5,4.0,1.0,1.0,5071.0,44.0,44.0,,,
HD 137388 b,Confirmed,0.223,0.029,0.029,0.223,0.029,0.029,,,,330.0,4.0,4.0,0.89,0.02,0.02,0.36,0.12,0.12,,,,0.023421,2011,2011-08-02,86.0,35.0,35.0,2455209.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 137388,233.9166667,-80.2047222,8.71,,,,,38.0,3.0,3.0,0.18,0.03,0.03,0.86,,,0.82,,,K0/K1V,6.45,0.74,0.74,5240.0,53.0,53.0,,,
HD 13808 b,Confirmed,0.0325,0.0029,0.0029,0.0325,0.0029,0.0029,,,,14.182,0.005,0.005,0.1017,0.0016,0.0016,0.17,0.07,0.07,,,,0.003556,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 13808,33.1791667,-53.7438889,8.38,,,,,28.6,0.3,0.3,,,,,,,,,,K2V,,,,,,,,,
HD 13808 c,Confirmed,0.036,0.0051,0.0051,0.036,0.0051,0.0051,,,,53.832,0.1127,0.1127,0.2476,0.0041,0.0041,0.43,,,,,,0.008657,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 13808,33.1791667,-53.7438889,8.38,,,,,28.6,0.3,0.3,,,,,,,,,,K2V,,,,,,,,,
HD 13908 b,Confirmed,0.865,0.035,0.035,0.865,0.035,0.035,,,,19.382,0.006,0.006,0.154,0.0025,0.0025,0.046,0.022,0.022,,,,,2013,2014-08-25,185.0,43.0,43.0,2455750.93,0.18,0.18,,,,2455756.032,0.156,0.156,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 13908,34.562500005,65.594444465,7.51,,,,,71.2,3.5,3.5,0.01,0.04,0.04,1.29,0.04,0.04,,,,F8V,2.9,0.4,0.4,6255.0,66.0,66.0,,,
HD 13908 c,Confirmed,5.13,0.25,0.25,5.13,0.25,0.25,,,,931.0,17.0,17.0,2.03,0.04,0.04,0.12,0.02,0.02,,,,,2013,2014-08-25,185.0,11.0,11.0,2456165.0,9.0,9.0,,,,2456436.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 13908,34.562500005,65.594444465,7.51,,,,,71.2,3.5,3.5,0.01,0.04,0.04,1.29,0.04,0.04,,,,F8V,2.9,0.4,0.4,6255.0,66.0,66.0,,,
HD 13931 b,Confirmed,1.88,0.15,0.15,1.88,0.15,0.15,,,,4218.0,388.0,388.0,5.15,0.29,0.29,0.02,0.05,0.05,,,,0.116516,2010,2014-08-30,290.0,78.0,78.0,2454494.0,904.0,904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 13931,34.1958333,43.7730556,7.61,,,,,44.2,1.4,1.4,0.03,0.04,0.04,1.02,0.02,0.02,1.23,0.06,0.06,G0,8.4,2.0,2.0,5829.0,44.0,44.0,,,
HD 139357 b,Confirmed,9.76,2.15,2.15,9.76,2.15,2.15,,,,1125.7,9.0,9.0,2.36,0.2,0.2,0.1,0.02,0.02,,,,0.01944,2009,2009-03-23,235.4,10.6,10.6,2452466.7,3.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 139357,233.8166667,53.9222222,5.98,,,,,121.4,8.2,8.2,-0.13,0.05,0.05,1.35,0.24,0.24,11.47,0.75,0.75,K4III,3.07,1.47,1.47,4700.0,70.0,70.0,,,
HD 14067 b,Confirmed,7.8,0.7,0.7,7.8,0.7,0.7,,,,1455.0,12.0,13.0,3.4,0.1,0.1,0.533,0.047,0.043,,,,,2014,2014-10-09,109.9,5.7,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 14067,34.2934990035,23.7678282663,6.51,,,,,163.4,12.3,12.3,-0.1,0.08,0.08,2.4,0.2,0.2,12.4,1.1,1.1,G9 III,0.69,0.2,0.2,4815.0,100.0,100.0,,,
HD 141399 b,Confirmed,0.451,0.03,0.03,0.451,0.03,0.03,,,,94.44,0.05,0.05,0.415,0.011,0.011,0.04,0.02,0.02,,,,,2014,2016-02-16,270.0,80.0,80.0,2456998.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 141399,236.725000018,46.986388911,7.2,,,,,36.17,0.5,0.5,0.35,0.03,0.03,1.07,0.08,0.08,1.46,0.15,0.15,K0V,,,,5600.0,5340.0,5340.0,,,
HD 141399 c,Confirmed,1.33,0.08,0.08,1.33,0.08,0.08,,,,201.99,0.08,0.08,0.689,0.02,0.02,0.048,0.009,0.009,,,,,2014,2016-02-17,220.0,40.0,40.0,2456838.0,10.0,10.0,,,,,,,,,,,,,,,,,,,44.2,0.5,0.5,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 141399,236.725000018,46.986388911,7.2,,,,,36.17,0.5,0.5,0.35,0.03,0.03,1.07,0.08,0.08,1.46,0.15,0.15,K0V,,,,5600.0,5340.0,5340.0,,,
HD 141399 d,Confirmed,1.18,0.08,0.08,1.18,0.08,0.08,,,,1069.8,6.7,6.7,2.09,0.06,0.06,0.074,0.025,0.025,,,,,2014,2016-02-17,220.0,30.0,30.0,2456923.0,65.0,65.0,,,,,,,,,,,,,,,,,,,22.63,0.6,0.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 141399,236.725000018,46.986388911,7.2,,,,,36.17,0.5,0.5,0.35,0.03,0.03,1.07,0.08,0.08,1.46,0.15,0.15,K0V,,,,5600.0,5340.0,5340.0,,,
HD 141399 e,Confirmed,0.66,0.1,0.1,0.66,0.1,0.1,,,,5000.0,2000.0,560.0,5.0,1.5,1.5,0.26,0.22,0.22,,,,,2014,2016-02-17,350.0,20.0,20.0,2458900.0,800.0,800.0,,,,,,,,,,,,,,,,,,,8.8,0.9,0.9,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 141399,236.725000018,46.986388911,7.2,,,,,36.17,0.5,0.5,0.35,0.03,0.03,1.07,0.08,0.08,1.46,0.15,0.15,K0V,,,,5600.0,5340.0,5340.0,,,
HD 141937 b,Confirmed,9.7,,,9.7,,,,,,653.22,1.21,1.21,1.52,,,0.41,0.01,0.01,,,,0.045427,2002,2010-12-29,187.72,0.8,0.8,51847.38,1.97,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 141937,238.0708333,-18.4358333,7.25,,,,,33.46,,,0.11,,,1.1,,,1.06,,,G2/G3 V,2.55,,,5925.0,,,,,
HD 142 b,Confirmed,1.25,0.15,0.15,1.25,0.15,0.15,,,,349.7,1.2,1.2,1.02,0.3,0.3,0.17,0.06,0.06,,,,0.049515,2001,2012-05-15,327.0,26.0,26.0,2452683.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 142,1.5791667,-49.075,5.7,,,,,20.6,,,0.04,0.15,0.15,1.1,,,0.86,0.34,0.34,G1 IV,5.93,,,6180.0,,,IR Excess,,
HD 142 c,Confirmed,5.3,0.7,0.7,5.3,0.7,0.7,,,,6005.0,477.0,477.0,6.8,0.5,0.5,0.21,0.07,0.07,,,,0.330097,2012,2013-10-10,250.0,20.0,20.0,2455954.0,223.0,223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 142,1.5791667,-49.075,5.7,,,,,20.6,,,0.04,0.15,0.15,1.1,,,0.86,0.34,0.34,G1 IV,5.93,,,6180.0,,,IR Excess,,
HD 142022 A b,Confirmed,29.4,16.3,81.0,5.1,1.5,2.6,,,,1928.0,39.0,53.0,3.03,0.005,0.005,0.53,0.18,0.23,10.0,6.0,6.0,0.084472,2005,2014-05-26,170.0,10.0,8.0,50941.0,91.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 142022 A,242.5625,-84.2313889,7.7,,,,,35.87,,,0.19,0.04,0.04,0.99,,,0.705,0.135,0.135,K0 V,13.3,3.9,3.9,5382.0,,,,,
HD 142245 b,Confirmed,1.9,0.2,0.2,1.9,0.2,0.2,,,,1299.0,48.0,48.0,2.77,0.09,0.09,0.32,inf,nan,,,,0.025297,2011,2011-09-02,234.0,60.0,60.0,2454760.0,240.0,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 142245,238.2333333,15.4308333,7.63,,,,,109.5,7.4,7.4,0.23,0.03,0.03,1.69,0.12,0.12,5.2,0.1,0.1,K0,2.3,0.3,0.3,4878.0,44.0,44.0,,,
